Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Revenue
10001,2024-01-26,Headphones,Accessories,East,4,2828,11312
10002,2024-04-14,Monitor,Electronics,Central,2,28349,56698
10003,2024-02-02,Router,Electronics,North,2,4782,9564
10004,2025-06-01,Tablet,Electronics,Central,1,46781,46781
10005,2025-10-27,Mouse,Accessories,Central,7,1202,8414
10006,2025-08-26,Projector,Electronics,East,1,35926,35926
10007,2024-12-14,Router,Electronics,East,3,4727,14181
10008,2024-04-14,Webcam,Accessories,North,7,1792,12544
10009,2024-12-18,SSD,Electronics,Central,5,2711,13555
10010,2025-07-03,Projector,Electronics,North,7,25328,177296
10011,2024-10-27,Gaming Chair,Furniture,Central,6,23918,143508
10012,2025-12-22,Mouse,Accessories,North,1,1233,1233
10013,2024-03-22,Speaker,Accessories,South,2,7727,15454
10014,2025-04-09,Smartwatch,Accessories,East,3,14130,42390
10015,2024-08-02,SSD,Electronics,East,2,11980,23960
10016,2025-06-30,Keyboard,Accessories,South,3,2393,7179
10017,2024-10-03,Hard Disk,Electronics,Central,4,14216,56864
10018,2024-02-27,Webcam,Accessories,South,1,3584,3584
10019,2024-10-01,Hard Disk,Electronics,North,4,12292,49168
10020,2024-08-05,Webcam,Accessories,West,7,6266,43862
10021,2024-05-26,Projector,Electronics,East,3,47325,141975
10022,2025-07-05,Gaming Chair,Furniture,East,10,19038,190380
10023,2025-02-12,Desk Lamp,Furniture,East,4,1633,6532
10024,2025-05-20,Power Bank,Accessories,North,1,1598,1598
10025,2025-10-04,Monitor,Electronics,South,7,28543,199801
10026,2025-01-29,Printer,Electronics,West,10,22337,223370
10027,2024-09-14,Power Bank,Accessories,Central,1,1638,1638
10028,2024-09-30,Gaming Chair,Furniture,East,2,14617,29234
10029,2024-06-10,Router,Electronics,West,1,5515,5515
10030,2024-07-01,Power Bank,Accessories,Central,2,3144,6288
10031,2025-09-15,Power Bank,Accessories,South,3,3763,11289
10032,2025-07-06,Keyboard,Accessories,Central,1,2953,2953
10033,2025-05-15,Webcam,Accessories,North,2,3973,7946
10034,2024-09-02,Speaker,Accessories,North,4,10795,43180
10035,2024-03-28,Printer,Electronics,West,2,24455,48910
10036,2024-05-11,Monitor,Electronics,West,9,14410,129690
10037,2025-06-24,Smartwatch,Accessories,Central,7,8940,62580
10038,2025-12-07,Gaming Chair,Furniture,South,5,18074,90370
10039,2025-03-24,SSD,Electronics,Central,8,3982,31856
10040,2024-08-18,Tablet,Electronics,North,6,11378,68268
10041,2025-07-21,Desk Lamp,Furniture,South,10,2304,23040
10042,2024-03-13,Laptop,Electronics,North,4,49417,197668
10043,2024-12-04,Mobile,Electronics,North,9,27597,248373
10044,2025-11-16,Smartwatch,Accessories,West,4,19669,78676
10045,2025-08-07,Monitor,Electronics,Central,8,16962,135696
10046,2025-02-20,Microphone,Accessories,South,2,2788,5576
10047,2024-12-28,Router,Electronics,West,7,8851,61957
10048,2025-11-20,Mobile,Electronics,North,1,38386,38386
10049,2024-04-21,Webcam,Accessories,South,4,2558,10232
10050,2025-04-04,Gaming Chair,Furniture,South,7,11012,77084
10051,2025-04-18,Smartwatch,Accessories,South,2,16520,33040
